甲骨文字,龜甲文
忽魚,鱘魚
鑿子木,小波拉葉
家邦,家國
所持者,所持人
盛衰,興替
馬舍,馬廏間
生活品,生活必需品
水狐,沙蝨
艍舠船,居刀船
寒色,暖色
羅針儀,羅針盤
崎嶇,崎險
丸劑,丸藥
起兵,興師
簑衣,襏襫
孔雀羽,靈羽
冬至豆粥,冬至粥
仁參,人蔘
筆鋒,毫端
踐歷,遍巡
短資會社,投資金融會社
奬勸,勸奬
瘠土,磽确
邦境,國境
賦性,稟性
耳郭,耳介
穿頭術,開頭術
鐵礬土,水礬土
臆度,臆料
椽廳,作廳
精舍,僧伽藍
文辭,文詞
欲心,慾心
散軼,散佚
鴆殺,鴆弑
咆號,嘲哮
氣筒,汽筩
脹始,創始
弓箭之士,武士
陞降石,石段
從卒,從兵
袞龍袍,袞服
水蝕山,浸蝕山
增益,增積
早成性,離巢性
纖弱,軟娟
支管,枝管
覘望,伺望
地仙,灼子
散藥,湯藥
倉庫,倉府
藜鐵,鐵蒺藜
藥袋,藥囊
聽耳酒,聰耳酒
頭頂骨,顱頂骨
編年體,紀年體
大命,景命
朞年祭,大小祥
豆菽類,斗穀類
再從孫,再從孫子
故舊,故交
片鐵,編鐵
居甲,居首
辛苦,苦毒
那落,地獄
緯線,緯度線
撤廢,撤罷
寸壤,尺土
元辰,正旦
鰻鯉,鰻鱺魚
閉架制,閉架式
砂壤土,沙壤土
季節風,季候風
妬忌,嫉妬
音符,音標
勝戰國,戰捷國
前番,先般
恒溫層,恒溫帶
白蠟,白癜風
秋晩,季秋
白鷺,鶬鷄
流産,落胎
判印,印章
笑氣,亞酸化窒素
毛竅,毛孔
類義語,類意語
浮漂植物,浮水植物
胡狄,外夷
牽馬陪,牽馬夫
淆亂,混亂
黑魚,火頭魚
酸毒症,酸性血液症
冥府,冥界
昌原郡,昌原市
眞彩,石彩
所存,所存者
漕運,轉漕
峽間,谷地
毛皮種,毛皮用種
辨理,辦理
上告法院,大法院
仲秋佳節,中秋佳節
大葉柞,柞木
土龍,土墳
生路,生道
熱烈,烈烈
廻章,回文
